internship_id,title,company,location,country,location_type,description,required_skills,preferred_skills,domain,duration_months,stipend_usd,experience_level
INT-001,Machine Learning Research Intern,Nexora AI Labs,"San Francisco, CA",United States,Remote,"Work alongside senior researchers to develop and evaluate novel ML algorithms. You will implement baseline models, run experiments, and analyze results on large datasets. Contribute to internal research papers and present findings to the team. Gain hands-on experience with cutting-edge deep learning frameworks.",Python|TensorFlow|PyTorch|NumPy|scikit-learn,Jupyter|Git|LaTeX,Machine Learning,3,2200,Intermediate
INT-002,Data Science Intern,Prism Analytics,"Austin, TX",United States,Hybrid,"Analyze complex datasets to extract actionable business insights for clients. Build dashboards and reports using visualization tools and statistical methods. Collaborate with the product team to define KPIs and tracking metrics. Present findings in weekly stakeholder meetings.",Python|SQL|Pandas|Matplotlib|Statistics,Tableau|Power BI|R,Data Science,4,1800,Beginner
INT-003,Backend Software Engineering Intern,CloudBridge Systems,"Berlin, Germany",Germany,On-site,"Design and implement RESTful APIs for a SaaS platform serving enterprise clients. Write unit and integration tests to maintain code quality standards. Participate in code reviews and agile sprint ceremonies. Contribute to system architecture discussions with senior engineers.",Python|REST API|SQL|Git|Docker,Kubernetes|PostgreSQL|Redis,Software Engineering,6,1500,Intermediate
INT-004,Frontend Web Development Intern,PixelForge Studio,"Toronto, Ontario",Canada,Hybrid,"Build responsive and accessible UI components for a consumer-facing web application. Collaborate with designers to translate Figma mockups into clean React code. Optimize frontend performance and ensure cross-browser compatibility. Write unit tests using Jest and maintain component documentation.",JavaScript|React|HTML|CSS|Git,TypeScript|Figma|Jest,Web Development,3,1600,Beginner
INT-005,NLP Research Intern,LinguaCore Technologies,"London, England",United Kingdom,Remote,"Develop and fine-tune transformer-based models for text classification and named entity recognition tasks. Preprocess and annotate large-scale text corpora for training pipelines. Evaluate model performance using standard NLP benchmarks. Collaborate with the applied research team on production deployment strategies.",Python|Hugging Face Transformers|spaCy|PyTorch|NLTK,BERT|FastAPI|Docker,NLP,4,2500,Advanced
INT-006,Computer Vision Intern,OptiSense Robotics,"Osaka, Japan",Japan,On-site,"Develop image segmentation and object detection models for industrial automation systems. Annotate and preprocess image datasets for model training pipelines. Integrate vision models into embedded hardware prototypes. Write technical documentation for algorithms and deployment procedures.",Python|OpenCV|PyTorch|TensorFlow|NumPy,CUDA|ROS|C++,Computer Vision,5,1800,Intermediate
INT-007,DevOps Engineering Intern,StackNova Infrastructure,"Amsterdam, Netherlands",Netherlands,Hybrid,"Maintain and improve CI/CD pipelines for a microservices-based platform. Monitor system health using observability tools and respond to incidents. Automate infrastructure provisioning using IaC tools. Collaborate with development teams to streamline deployment workflows.",Linux|Docker|Kubernetes|Git|Bash,Terraform|Jenkins|Prometheus,DevOps,4,1700,Intermediate
INT-008,Cybersecurity Analyst Intern,ShieldTech Security,"Canberra, ACT",Australia,On-site,"Assist the security operations team in monitoring network traffic for anomalies and threats. Conduct vulnerability assessments on internal systems and document findings. Support incident response procedures and maintain security logs. Research emerging threat vectors and contribute to internal threat intelligence reports.",Networking|Linux|Wireshark|SIEM Tools|Python,Metasploit|Nmap|Splunk,Cybersecurity,3,2000,Beginner
INT-009,Product Management Intern,Vantage Product Studio,"New York, NY",United States,Hybrid,"Support the product team in conducting user research and competitive analysis. Write product requirement documents and user stories for engineering teams. Analyze product usage metrics to identify areas for improvement. Coordinate cross-functional meetings between design, engineering, and marketing teams.",Product Thinking|Data Analysis|Communication|Jira|Excel,SQL|Figma|Notion,Product Management,3,2200,Beginner
INT-010,Data Engineering Intern,FlowData Systems,"Bangalore, Karnataka",India,Remote,"Build and maintain ETL pipelines to ingest and transform data from multiple sources. Optimize SQL queries and data warehouse schemas for performance. Monitor pipeline health and resolve data quality issues. Collaborate with data scientists to ensure clean and reliable data delivery.",Python|SQL|Apache Spark|Airflow|ETL,dbt|Snowflake|BigQuery,Data Engineering,4,900,Intermediate
INT-011,AI Research Intern,DeepMind Ventures,"Paris, Île-de-France",France,Remote,"Investigate reinforcement learning approaches for sequential decision-making problems. Implement and benchmark research algorithms against state-of-the-art baselines. Contribute to academic paper writing and internal research presentations. Work closely with senior scientists in a collaborative research environment.",Python|PyTorch|Reinforcement Learning|NumPy|Git,JAX|LaTeX|Weights & Biases,Research,5,2800,Advanced
INT-012,Finance Technology Intern,QuantEdge Capital,Singapore,Singapore,On-site,"Develop quantitative models for portfolio risk assessment and optimization. Build automated reporting tools for trading performance analytics. Collaborate with quant analysts to backtest algorithmic trading strategies. Maintain and improve financial data pipelines and dashboards.",Python|SQL|Excel|Statistics|Pandas,R|Bloomberg API|MATLAB,Finance Tech,4,2400,Intermediate
